144 2
<unk> -2.7091238918 -3.15833467485
<bol> -1.47834270425 -2.2130823415
<eol> -1.42060143187 -2.23343693506
the -1.58009983586 -3.33591394791
and -1.53854647345 -3.41900037084
of -2.12878150259 -2.85099808294
to -1.60578040692 -2.62231036992
a -1.65989977906 -2.27108834495
in -1.62365102128 -1.93873547046
that -1.53830236765 -2.04181540052
is -1.09770850609 -1.55432418059
AI -1.26004994038 -1.55711908847
as -0.781326842046 -1.38415468879
be -1.13207435709 -1.34151747363
intelligence -1.3509672789 -0.883626315634
for -0.857407200459 -1.1593230602
are -0.6555755143 -1.04793940484
The -0.590210528029 -1.06950681659
artificial -1.10243475722 -0.892125177591
with -1.00770913523 -0.926520434175
an -0.668496588476 -0.833259878007
by -0.769568744927 -0.766010826404
or -0.429509264279 -0.788737157281
can -1.1632154413 -0.951263456132
on -0.862854721186 -0.712490926861
human -0.734443349925 -0.707113126289
have -0.402983667222 -0.487308390528
machine -0.464299367972 -0.774686087446
from -0.440284530812 -0.641722537699
Main -0.549860047321 -0.54672416442
was -0.54954135769 -0.692367135739
has -0.517883476688 -0.526776004565
it -0.290858284506 -0.750338074956
A -0.314300044195 -0.660679418704
also -0.264854153763 -0.397340316865
which -0.123238096688 -0.440621067196
In -0.0561408673284 -0.583931239706
at -0.155955489851 -0.420849251947
research -0.556319858251 -0.530305649468
computer -0.531202686795 -0.350906103808
such -0.169571247863 -0.368369436052
neural -0.557380022852 -0.561415725883
networks -0.784575088831 -0.850951169317
many -0.181111802374 -0.43108491424
this -0.0267861698377 -0.237669775924
used -0.383603363009 -0.477185065612
learning -0.699514060691 -0.467994337013
use -0.251576420854 -0.615262454129
intelligent -0.282375923879 -0.515887546558
would -0.301660169897 -0.279232515623
more -0.0627614974672 -0.605353952878
problems -0.437066892742 -0.676804766024
will -0.471200734822 -0.119026014849
article: -0.474030398315 -0.520519783614
its -0.186403145196 -0.215716984096
This -0.360918759881 -0.423546387762
knowledge -0.0134217270769 -0.532888750044
machines -0.355340964065 -0.162509393869
agent -0.287191856117 -0.631727143181
not -0.256288945283 -0.221469043636
about -0.360614800563 -0.267796811047
researchers -0.492991150994 -0.176434617567
other -0.0853829292214 -0.150238175639
systems -0.187487246047 -0.615168084322
into -0.335878167029 -0.325839404448
problem -0.419917738752 -0.402945558548
their -0.476338621891 -0.257839620175
these -0.355968299336 -0.256334911941
been 0.0704846891102 -0.218083808615
general -0.284440228457 -0.547166963659
system -0.0728777133985 -0.408067208735
all -0.0751797377491 -0.140710041257
For -0.310114063787 -0.349574191069
some -0.326607821603 -0.207557543159
one -0.226416036065 -0.107459361575
algorithms -0.554012530772 -0.237941897111
Artificial -0.311556510295 -0.0926169887437
include -0.0735144702896 -0.489199625872
most -0.0433327929524 -0.119452220136
than -0.162275568973 -0.076117125757
could -0.290039782685 0.0454520115297
number -0.435626228147 -0.518043866447
decision -0.252474340412 -0.202915962633
(such -0.0657797348154 -0.462214222726
language -0.0885637261052 -0.442162959959
articles: 0.0690419532772 -0.0414457442015
able -0.243164603782 -0.277668572377
there -0.369259929043 -0.0948663790752
search -0.134430357127 -0.266569459158
field -0.173251597695 0.00204421879777
Machine -0.235051527209 -0.379959112108
intelligence, -0.0339226980681 -0.380154807877
study -0.270661315396 -0.255517762344
needed] -0.201927409398 -0.150476085438
mathematical -0.323972977414 -0.336141687286
may 0.0434711749066 -0.184042806356
logic -0.377042922352 -0.0596309719734
between -0.305853123146 -0.287788204511
developed -0.0522296568736 -0.506453998872
make -0.293652000183 -0.205041192955
using -0.173401473141 -0.243519942481
including 0.137522193274 -0.0344908493317
ethics -0.146818535454 -0.300382950189
people -0.114852249324 -0.0723376596956
solve -0.368105424119 -0.0647539176782
reasoning -0.0297116410852 -0.0019098991732
they 0.0867316359644 -0.18974600789
through 0.0325157037254 -0.150619047293
any -0.330097592498 -0.346510160414
ability 0.00479375855362 -0.245485850985
computational 0.0525093387928 -0.109541962829
Many -0.215234118618 -0.228684890961
methods -0.279156479275 -0.036482849252
so -0.357053838623 -0.0515312991105
mind -0.248354418689 -0.0833896754889
beings -0.0290112641918 -0.167460716572
approaches -0.183059427451 -0.301817831597
Deep -0.358680734128 -0.527239409488
theory -0.20428619415 -0.0495312387718
form -0.21383326523 -0.318133512392
specific -0.374101460532 -0.331613205959
software 0.0915470011949 -0.272279792879
These -0.147358840335 -0.0514614440458
how -0.12433107411 -0.196222494157
being -0.0504005052378 -0.204153436694
humans -0.108284996314 0.0101844022722
science 0.112447563288 0.0632035333393
often 0.0840516734642 -0.143973544269
known -0.0541087839163 -0.401409185594
new -0.0157012194768 -0.146540292681
symbolic -0.17070835022 -0.29425253339
based 0.0903581788638 -0.351060666009
simulate -0.161257066292 -0.298159374044
processing 0.00800422593152 -0.0623979189255
computers -0.384103678101 -0.0743508542587
both 0.0848075852708 -0.209142773328
few -0.141528760425 0.0391233713775
data 0.0311648972609 -0.0134282380705
development -0.130408657977 -0.194467062596
require -0.287697906857 -0.0943483728172
example, -0.120201111963 -0.216654341434
like 0.0799253212225 -0.131176029896
only -0.226405481792 -0.16835436545
behavior -0.242642510828 -0.0534657435926
